266.322, 132.073, 8.346, 10.517 False
266.046, 132.043, 8.346, 10.550 False
265.769, 132.013, 8.346, 10.583 False
265.493, 131.982, 8.346, 10.616 False
265.216, 131.952, 8.346, 10.649 False
264.940, 131.921, 8.346, 10.682 False
264.663, 131.890, 8.345, 10.715 False
264.387, 131.859, 8.345, 10.748 False
264.111, 131.828, 8.345, 10.781 False
263.834, 131.796, 8.344, 10.814 False
263.558, 131.765, 8.344, 10.847 False
263.282, 131.733, 8.344, 10.880 False
263.005, 131.701, 8.344, 10.913 False
262.729, 131.668, 8.343, 10.946 False
262.453, 131.636, 8.343, 10.979 False
262.177, 131.604, 8.343, 11.012 False
261.900, 131.572, 8.343, 11.045 False
261.624, 131.540, 8.343, 11.078 False
261.348, 131.508, 8.342, 11.111 False
261.072, 131.475, 8.342, 11.144 False
260.796, 131.443, 8.342, 11.177 False
260.519, 131.411, 8.342, 11.210 False
260.243, 131.378, 8.341, 11.243 False
259.967, 131.346, 8.341, 11.276 False
259.691, 131.314, 8.341, 11.309 False
259.415, 131.281, 8.341, 11.342 False
259.139, 131.249, 8.341, 11.375 False
258.863, 131.217, 8.341, 11.408 False
258.586, 131.184, 8.340, 11.441 False
258.310, 131.152, 8.340, 11.474 False
258.034, 131.120, 8.340, 11.507 False
257.758, 131.087, 8.340, 11.540 False
257.482, 131.055, 8.340, 11.573 False
257.206, 131.023, 8.339, 11.606 False
256.930, 130.991, 8.339, 11.639 False
256.654, 130.959, 8.339, 11.672 False
256.377, 130.927, 8.339, 11.705 False
256.101, 130.895, 8.339, 11.738 False
255.825, 130.863, 8.339, 11.771 False
255.549, 130.832, 8.339, 11.804 False
255.273, 130.800, 8.338, 11.837 False
254.997, 130.768, 8.338, 11.870 False
254.721, 130.737, 8.338, 11.903 False
254.444, 130.705, 8.338, 11.936 False
254.168, 130.674, 8.338, 11.969 False
253.892, 130.643, 8.338, 12.002 False
253.616, 130.612, 8.338, 12.035 False
253.340, 130.581, 8.337, 12.068 False
253.063, 130.551, 8.337, 12.101 False
252.787, 130.520, 8.337, 12.134 False
252.511, 130.490, 8.337, 12.167 False
252.235, 130.459, 8.337, 12.200 False
251.958, 130.429, 8.337, 12.233 False
251.682, 130.399, 8.337, 12.266 False
251.406, 130.369, 8.337, 12.299 False
251.130, 130.339, 8.337, 12.332 False
250.853, 130.310, 8.337, 12.365 False
250.577, 130.280, 8.337, 12.398 False
250.301, 130.251, 8.336, 12.431 False
250.024, 130.222, 8.336, 12.464 False
249.748, 130.193, 8.336, 12.497 False
249.472, 130.164, 8.336, 12.530 False
249.195, 130.135, 8.336, 12.563 False
248.919, 130.106, 8.336, 12.596 False
248.642, 130.078, 8.336, 12.629 False
248.366, 130.050, 8.336, 12.662 False
248.089, 130.022, 8.336, 12.695 False
247.813, 129.995, 8.336, 12.728 False
247.536, 129.967, 8.336, 12.761 False
247.260, 129.940, 8.336, 12.794 False
246.983, 129.913, 8.336, 12.827 False
246.707, 129.886, 8.336, 12.860 False
246.430, 129.859, 8.335, 12.893 False
246.154, 129.833, 8.335, 12.926 False
245.877, 129.807, 8.335, 12.959 False
245.600, 129.781, 8.335, 12.992 False
245.324, 129.755, 8.335, 13.025 False
245.047, 129.730, 8.335, 13.058 False
244.771, 129.704, 8.335, 13.091 False
244.494, 129.680, 8.335, 13.124 False
244.217, 129.655, 8.335, 13.157 False
243.940, 129.631, 8.335, 13.190 False
243.663, 129.607, 8.335, 13.223 False
243.387, 129.583, 8.335, 13.256 False
243.110, 129.559, 8.335, 13.289 False
242.833, 129.536, 8.335, 13.322 False
242.556, 129.513, 8.335, 13.355 False
242.279, 129.489, 8.335, 13.388 False
242.002, 129.466, 8.335, 13.421 False
241.726, 129.444, 8.335, 13.454 False
241.449, 129.422, 8.334, 13.487 False
241.172, 129.400, 8.334, 13.520 False
